ID,Area,Priority,Package Weight (kg)
7411,Downtown,1,1.9
7412,Nasr City,2,6.5
7413,Mohandessin,5,3.5
7414,Zamalek,2,2.8
7415,Nasr City,5,9.5
7416,Rehab,4,2.8
7417,Shubra,5,8.8
7418,Dokki,4,0.3
7419,Helwan,3,6.5
7420,Downtown,4,1.0
7421,Rehab,5,4.1
7422,5th Settlement,1,8.2
7423,Downtown,3,9.7
7424,Helwan,5,9.5
7425,Heliopolis,4,5.4
7426,Heliopolis,1,0.5
7427,Heliopolis,3,5.8
7428,5th Settlement,5,9.6
7429,Zamalek,2,9.2
7430,5th Settlement,4,8.1
7431,6th of October,5,9.9
7432,Ain Shams,3,8.0
7433,Ain Shams,5,4.8
7434,Downtown,2,6.8
7435,Maadi,1,4.7
7436,New Cairo,3,5.1
7437,Nasr City,5,4.6
7438,Rehab,5,7.5
7439,Agouza,1,9.8
7440,Madinaty,3,5.8
7441,Agouza,2,6.2
7442,6th of October,1,0.9
7443,Agouza,5,0.6
7444,Mohandessin,4,9.3
7445,Downtown,2,6.1
7446,Garden City,3,7.9
7447,Sheikh Zayed,4,5.4
7448,Maadi,5,2.8
7449,Garden City,5,1.7
7450,Ain Shams,3,9.7
7451,Dokki,2,2.8
7452,Nasr City,2,7.2
7453,Dokki,2,0.8
7454,Madinaty,2,7.5
7455,Helwan,3,8.7
7456,Mohandessin,2,0.1
7457,Nasr City,1,0.1
7458,Shubra,2,5.5
7459,Shubra,4,8.0
7460,Heliopolis,5,2.5
7461,Sheikh Zayed,5,0.1
7462,Agouza,1,5.8
7463,Heliopolis,4,1.3
7464,Nasr City,5,8.0
7465,Zamalek,4,9.6
7466,Downtown,2,5.7
7467,Madinaty,2,1.5
7468,Agouza,5,9.3
7469,Agouza,4,9.5
7470,Manial,1,7.4
7471,5th Settlement,3,3.9
7472,Zamalek,5,3.1
7473,New Cairo,4,4.3
7474,Maadi,1,2.5
7475,Agouza,5,9.2
7476,Garden City,2,2.8
7477,Heliopolis,2,4.4
7478,Zamalek,1,9.5
7479,Zamalek,3,5.3
7480,Manial,5,1.0
7481,New Cairo,3,6.5
7482,Agouza,3,5.1
7483,Nasr City,2,1.6
7484,Nasr City,1,6.4
7485,Giza,2,3.7
7486,Ain Shams,1,2.8
7487,Shubra,5,4.5
7488,New Cairo,3,6.1
7489,New Cairo,4,5.9
7490,Downtown,1,4.4
7491,5th Settlement,2,1.0
7492,Nasr City,2,2.7
7493,5th Settlement,1,7.1
7494,Downtown,2,6.9
7495,Sheikh Zayed,4,6.6
7496,6th of October,1,6.0
7497,Shubra,2,1.6
7498,Helwan,5,0.4
7499,Madinaty,3,8.9
7500,Downtown,4,6.9
7501,Helwan,2,2.4
7502,Dokki,2,4.2
7503,Rehab,1,3.5
7504,Zamalek,2,0.2
7505,5th Settlement,2,6.2
7506,Giza,1,5.6
7507,Ain Shams,1,5.5
7508,Giza,3,6.3
7509,6th of October,4,5.7
7510,Maadi,1,1.2
7511,Dokki,2,4.7
7512,Ain Shams,4,0.6
7513,Zamalek,2,0.3
7514,Sheikh Zayed,2,5.7
7515,Nasr City,1,4.6
7516,Dokki,2,7.3
7517,Downtown,5,9.8
7518,Ain Shams,1,7.4
7519,Downtown,1,3.6
7520,New Cairo,5,6.6
7521,Nasr City,4,7.2
7522,Ain Shams,3,7.4
7523,New Cairo,3,2.3
7524,Maadi,3,3.9
7525,Downtown,4,6.6
7526,Garden City,3,4.2
7527,Nasr City,1,3.9
7528,Giza,2,6.3
7529,Madinaty,2,0.2
7530,6th of October,4,9.6
7531,New Cairo,2,8.5
7532,Ain Shams,1,3.6
7533,Ain Shams,5,5.0
7534,Giza,1,1.8
7535,Downtown,4,7.5
7536,Dokki,4,6.7
7537,Nasr City,5,4.6
7538,Ain Shams,4,4.0
7539,Shubra,2,9.4
7540,New Cairo,1,8.6
7541,Manial,4,9.6
7542,Ain Shams,5,8.9
7543,New Cairo,5,4.5
7544,Rehab,1,3.0
7545,Agouza,1,6.7
7546,Helwan,1,6.4
7547,Heliopolis,5,0.5
7548,Agouza,4,3.1
7549,Downtown,2,9.9
7550,New Cairo,2,2.4
7551,6th of October,4,3.1
7552,Shubra,5,8.8
7553,Heliopolis,2,1.6
7554,Ain Shams,3,1.0
7555,Helwan,2,6.1
7556,Agouza,2,3.6
7557,Shubra,3,0.3
7558,Zamalek,1,8.0
7559,Manial,4,1.1
7560,5th Settlement,5,7.8
7561,Downtown,4,0.9
7562,Ain Shams,2,2.6
7563,Giza,5,3.1
7564,Sheikh Zayed,5,7.9
7565,Zamalek,5,8.1
7566,Agouza,4,5.2
7567,Shubra,4,5.4
7568,Nasr City,3,2.7
7569,Heliopolis,1,8.5
7570,Dokki,3,1.9
7571,New Cairo,1,3.2
7572,Dokki,2,8.0
7573,Heliopolis,4,8.6
7574,Manial,5,0.6
7575,Garden City,4,4.3
7576,Sheikh Zayed,4,1.5
7577,Maadi,2,0.6
7578,Mohandessin,1,1.7
7579,5th Settlement,5,6.0
7580,Maadi,1,6.3
7581,New Cairo,1,1.0
7582,Mohandessin,3,9.4
7583,Madinaty,1,9.2
7584,Madinaty,1,2.5
7585,Rehab,5,5.9
7586,Heliopolis,4,4.2
7587,Downtown,3,8.9
7588,Manial,1,6.9
7589,New Cairo,1,7.2
7590,6th of October,4,5.9
7591,Giza,3,8.2
7592,Heliopolis,1,9.2
7593,Rehab,3,2.1
7594,Sheikh Zayed,2,2.3
7595,Nasr City,4,7.1
7596,5th Settlement,5,9.2
7597,Rehab,5,6.8
7598,Madinaty,2,7.5
7599,Manial,1,7.8
7600,Rehab,1,7.2
7601,Heliopolis,4,9.5
7602,Sheikh Zayed,1,0.4
7603,Madinaty,2,7.8
7604,Mohandessin,5,1.4
7605,Agouza,4,8.8
7606,Madinaty,1,2.6
7607,Madinaty,3,5.4
7608,Maadi,4,8.4
7609,5th Settlement,1,8.8
7610,Nasr City,2,9.0
7611,5th Settlement,1,8.0
7612,5th Settlement,3,6.8
7613,Rehab,5,7.9
7614,Dokki,3,0.4
7615,6th of October,2,6.7
7616,Downtown,2,8.0
7617,Dokki,2,8.8
7618,Heliopolis,4,9.7
7619,Shubra,5,5.9
7620,Shubra,5,6.7
7621,Rehab,3,3.6
7622,Madinaty,1,4.0
7623,Rehab,3,4.0
7624,Manial,1,0.8
7625,Helwan,2,2.5
7626,Maadi,1,1.0
7627,6th of October,2,8.4
7628,Nasr City,4,3.9
7629,Mohandessin,2,9.3
7630,Sheikh Zayed,3,3.7
7631,Dokki,3,8.9
7632,Heliopolis,5,8.5
7633,Garden City,5,5.4
7634,5th Settlement,3,1.5
7635,Garden City,1,5.1
7636,Heliopolis,4,0.2
7637,Zamalek,1,6.0
7638,Garden City,1,3.2
7639,Helwan,1,1.6
7640,Helwan,5,3.8
7641,6th of October,4,9.9
7642,Garden City,2,7.2
7643,Manial,3,6.7
7644,5th Settlement,1,2.4
7645,Giza,1,1.0
7646,New Cairo,4,8.2
7647,Downtown,4,4.3
7648,Agouza,4,5.1
7649,Heliopolis,3,8.6
7650,5th Settlement,3,4.8
7651,Heliopolis,2,3.3
7652,Zamalek,4,5.5
7653,Giza,1,9.1
7654,Agouza,3,1.4
7655,Madinaty,5,7.7
7656,Helwan,3,1.1
7657,Maadi,5,1.6
7658,Garden City,4,4.7
7659,6th of October,3,0.3
7660,Helwan,3,4.4
7661,Rehab,4,4.3
7662,Helwan,1,1.5
7663,Nasr City,4,4.5
7664,Sheikh Zayed,4,2.1
7665,Shubra,3,1.3
7666,Madinaty,5,7.6
7667,Garden City,4,9.9
7668,Maadi,2,6.7
7669,Giza,3,1.1
7670,Sheikh Zayed,1,9.8
7671,Rehab,3,7.8
7672,6th of October,5,8.2
7673,Rehab,2,8.5
7674,Dokki,5,3.9
7675,New Cairo,4,1.8
7676,Shubra,2,6.9
7677,Dokki,5,8.9
7678,6th of October,1,5.2
7679,Ain Shams,3,4.5
7680,Rehab,4,1.4
7681,Downtown,4,6.9
7682,Mohandessin,3,9.5
7683,5th Settlement,4,2.2
7684,Downtown,3,4.8
7685,Mohandessin,5,6.1
7686,Sheikh Zayed,4,4.4
7687,Ain Shams,1,6.1
7688,Sheikh Zayed,5,8.0
7689,Agouza,2,9.9
7690,Giza,3,1.8
7691,New Cairo,1,7.8
7692,Nasr City,5,3.5
7693,Manial,2,9.4
7694,Agouza,4,4.8
7695,Giza,5,7.4
7696,Ain Shams,3,8.6
7697,Giza,2,7.8
7698,Giza,4,6.8
7699,Madinaty,5,4.6
7700,Rehab,4,6.0
7701,Helwan,3,7.1
7702,Zamalek,5,1.7
7703,Nasr City,2,7.1
7704,Sheikh Zayed,3,8.3
7705,Dokki,4,1.6
7706,Shubra,2,2.2
7707,Mohandessin,2,4.6
7708,Dokki,2,0.7
7709,Downtown,4,9.4
7710,Zamalek,4,1.1
7711,Madinaty,4,8.3
7712,Madinaty,1,6.1
7713,Maadi,3,4.3
7714,5th Settlement,3,1.7
7715,New Cairo,5,1.2
7716,5th Settlement,2,4.1
7717,Dokki,1,0.4
7718,Agouza,1,8.4
7719,Dokki,2,2.2
7720,Dokki,4,0.4
7721,Agouza,5,9.9
7722,New Cairo,2,0.2
7723,New Cairo,4,6.8
7724,Maadi,4,8.3
7725,Zamalek,4,5.5
7726,Nasr City,2,4.7
7727,Zamalek,4,8.1
7728,Rehab,1,9.2
7729,Nasr City,1,8.9
7730,Mohandessin,2,3.0
7731,Rehab,2,1.9
7732,New Cairo,4,2.6
7733,Heliopolis,4,5.8
7734,New Cairo,4,1.7
7735,Garden City,5,4.4
7736,Garden City,5,0.2
7737,Shubra,3,0.4
7738,Dokki,3,2.7
7739,Manial,5,6.2
7740,Manial,2,3.3
7741,Garden City,2,7.4
7742,Dokki,4,4.7
7743,Zamalek,2,1.9
7744,Heliopolis,4,9.0
7745,Maadi,3,2.3
7746,Agouza,4,9.8
7747,Ain Shams,4,0.7
7748,Giza,2,4.6
7749,Dokki,5,4.6
7750,Helwan,2,6.5
7751,New Cairo,5,5.9
7752,Agouza,3,7.5
7753,Nasr City,5,0.3
7754,Ain Shams,3,8.6
7755,Ain Shams,4,8.2
7756,Ain Shams,1,9.9
7757,5th Settlement,1,1.8
7758,Heliopolis,5,6.7
7759,Dokki,5,9.6
7760,Dokki,1,0.6
7761,6th of October,2,9.1
7762,New Cairo,3,6.2
7763,Maadi,5,5.5
7764,Dokki,3,2.3
7765,Garden City,2,9.6
7766,Dokki,2,1.8
7767,Maadi,2,3.6
7768,Giza,3,8.1
7769,Maadi,1,8.5
7770,Garden City,3,6.2
7771,Maadi,2,2.9
7772,Agouza,5,8.6
7773,5th Settlement,3,8.2
7774,Mohandessin,5,7.0
7775,Garden City,2,2.0
7776,6th of October,2,8.8
7777,Dokki,5,4.0
7778,Nasr City,5,4.3
7779,Agouza,5,0.4
7780,Garden City,1,10.0
7781,New Cairo,3,1.4
7782,Agouza,1,1.0
7783,Giza,5,4.5
7784,Manial,5,4.0
7785,Maadi,1,6.2
7786,Madinaty,4,1.5
7787,Madinaty,4,2.1
7788,Helwan,3,3.2
7789,Nasr City,4,1.7
7790,New Cairo,1,1.9
7791,Rehab,3,5.7
7792,Heliopolis,5,6.3
7793,Shubra,4,1.4
7794,Garden City,1,0.9
7795,Garden City,4,4.9
7796,Ain Shams,3,1.4
7797,Downtown,5,4.8
7798,Shubra,3,6.3
7799,Downtown,1,3.9
7800,Ain Shams,1,8.9
7801,Garden City,1,4.5
7802,Agouza,2,0.1
7803,5th Settlement,3,6.6
7804,Downtown,3,3.2
7805,Dokki,1,0.7
7806,Garden City,3,0.7
7807,Giza,1,3.6
7808,Downtown,1,2.8
7809,Heliopolis,3,5.9
7810,Maadi,5,2.5
7811,Madinaty,5,8.5
7812,Downtown,3,4.7
7813,Downtown,3,4.7
7814,New Cairo,2,7.0
7815,Zamalek,5,1.6
7816,New Cairo,3,5.5
7817,5th Settlement,1,7.0
7818,Nasr City,3,5.9
7819,Madinaty,4,7.7
7820,Madinaty,4,0.5
7821,Mohandessin,2,8.3
7822,Dokki,5,8.8
7823,5th Settlement,4,5.9
7824,Helwan,5,3.6
7825,Dokki,3,9.4
7826,5th Settlement,3,4.7
7827,New Cairo,1,9.6
7828,Giza,5,8.8
7829,Helwan,5,7.9
7830,5th Settlement,2,5.4
7831,Giza,4,9.7
7832,Madinaty,2,7.1
7833,Dokki,1,4.1
7834,New Cairo,4,7.4
7835,Agouza,2,4.9
7836,Mohandessin,3,3.7
7837,Zamalek,5,7.4
7838,5th Settlement,2,4.0
7839,Helwan,1,1.8
7840,5th Settlement,2,7.6
7841,Shubra,2,3.6
7842,6th of October,4,7.6
7843,Ain Shams,2,1.8
7844,New Cairo,2,5.9
7845,Zamalek,2,6.5
7846,Garden City,3,7.9
7847,Agouza,5,1.0
7848,Nasr City,1,1.8
7849,Ain Shams,4,6.1
7850,Rehab,1,1.8
7851,Shubra,1,1.4
7852,Giza,1,2.7
7853,Helwan,4,9.6
7854,Zamalek,4,2.0
7855,Maadi,1,8.4
7856,Manial,1,7.2
7857,Zamalek,5,0.6
7858,Helwan,2,2.3
7859,Dokki,2,5.4
7860,Rehab,1,1.7
7861,Agouza,2,1.0
7862,Nasr City,1,3.9
7863,Nasr City,5,4.3
7864,Madinaty,1,1.5
7865,New Cairo,4,3.3
7866,Ain Shams,1,1.2
7867,Ain Shams,2,4.8
7868,Mohandessin,5,4.0
7869,Helwan,1,7.2
7870,Giza,2,0.2
7871,Mohandessin,3,4.7
7872,Rehab,4,4.3
7873,Garden City,1,6.6
7874,Mohandessin,4,2.1
7875,Manial,3,1.2
7876,Zamalek,4,2.9
7877,Mohandessin,1,3.1
7878,New Cairo,3,4.0
7879,Mohandessin,4,1.3
7880,Madinaty,4,1.9
7881,Madinaty,4,5.3
7882,Maadi,4,9.0
7883,Mohandessin,3,8.6
7884,Dokki,5,6.1
7885,New Cairo,4,9.7
7886,Madinaty,3,8.1
7887,Heliopolis,5,8.6
7888,Nasr City,1,5.5
7889,Madinaty,5,8.4
7890,Mohandessin,2,6.2
7891,Dokki,1,3.1
7892,6th of October,5,8.8
7893,6th of October,3,2.3
7894,Zamalek,4,7.7
7895,New Cairo,3,1.8
7896,Giza,2,4.3
7897,Shubra,5,5.1
7898,Agouza,1,2.6
7899,6th of October,5,1.7
7900,Garden City,4,3.8
7901,Downtown,4,8.4
7902,Maadi,3,5.6
7903,Dokki,2,6.9
7904,New Cairo,1,5.2
7905,Nasr City,5,6.6
7906,Sheikh Zayed,3,3.5
7907,Giza,4,6.3
7908,New Cairo,2,7.4
7909,New Cairo,2,1.0
7910,Agouza,5,3.3
7911,Maadi,5,0.3
7912,Madinaty,5,7.8
7913,Ain Shams,1,0.9
7914,Ain Shams,1,3.1
7915,Rehab,5,3.0
7916,Sheikh Zayed,3,9.6
7917,Rehab,1,2.8
7918,Shubra,1,4.0
7919,Rehab,3,5.5
7920,New Cairo,4,8.8
7921,Downtown,4,8.5
7922,Shubra,5,7.6
7923,Zamalek,3,9.3
7924,Zamalek,5,6.6
7925,Sheikh Zayed,5,3.8
7926,Maadi,2,5.8
7927,Dokki,5,4.6
7928,Nasr City,5,8.4
7929,Maadi,4,3.1
7930,5th Settlement,4,6.5
7931,Garden City,3,0.3
7932,Ain Shams,1,4.2
7933,Maadi,2,3.4
7934,Rehab,3,7.1
7935,Agouza,5,9.2
7936,Nasr City,4,2.5
7937,Rehab,2,4.9
7938,Shubra,4,0.3
7939,Heliopolis,5,7.0
7940,Dokki,2,9.3
7941,Madinaty,5,4.3
7942,Zamalek,5,6.5
7943,Sheikh Zayed,4,0.3
7944,Sheikh Zayed,4,5.1
7945,Sheikh Zayed,3,3.4
7946,Maadi,4,6.8
7947,Mohandessin,5,4.8
7948,6th of October,2,4.2
7949,Manial,5,7.0
7950,Shubra,1,7.6
7951,Giza,3,7.4
7952,6th of October,5,8.5
7953,Heliopolis,4,1.5
7954,5th Settlement,4,0.7
7955,Zamalek,5,7.7
7956,Rehab,1,8.7
7957,Mohandessin,2,4.1
7958,Zamalek,4,8.4
7959,Agouza,1,7.7
7960,Agouza,5,4.8
7961,Sheikh Zayed,5,1.9
7962,Agouza,5,0.9
7963,Madinaty,1,9.3
7964,Ain Shams,3,5.7
7965,Mohandessin,2,9.7
7966,Rehab,1,4.7
7967,6th of October,5,5.4
7968,Shubra,5,2.7
7969,Nasr City,2,3.0
7970,Agouza,5,7.2
7971,Garden City,1,6.9
7972,Garden City,3,6.8
7973,Manial,1,3.1
7974,Helwan,5,1.2
7975,Ain Shams,4,6.1
7976,Shubra,5,0.4
7977,Manial,3,1.9
7978,Rehab,2,8.2
7979,New Cairo,5,0.1
7980,New Cairo,2,5.4
7981,Sheikh Zayed,3,5.7
7982,Garden City,1,6.6
7983,Zamalek,4,7.0
7984,Heliopolis,4,7.3
7985,Nasr City,4,4.8
7986,New Cairo,2,6.4
7987,Giza,5,6.8
7988,Maadi,1,5.8
7989,New Cairo,5,3.9
7990,Downtown,5,9.2
7991,Nasr City,2,1.0
7992,Maadi,1,9.4
7993,Manial,2,4.8
7994,6th of October,1,4.2
7995,Maadi,2,4.5
7996,5th Settlement,1,0.4
7997,Zamalek,4,5.2
7998,Downtown,5,1.7
7999,Ain Shams,5,1.7
8000,6th of October,3,1.8
8001,Giza,1,8.4
8002,Nasr City,4,6.6
8003,Sheikh Zayed,5,1.6
8004,Agouza,2,9.7
8005,Rehab,3,6.5
8006,Ain Shams,5,1.0
8007,Agouza,1,0.1
8008,Shubra,1,7.2
8009,Madinaty,4,1.8
8010,Nasr City,5,4.0
8011,Downtown,1,0.4
8012,Heliopolis,4,2.5
8013,Dokki,4,0.7
8014,New Cairo,3,2.0
8015,Giza,5,2.8
8016,Dokki,3,3.9
8017,Sheikh Zayed,4,3.4
8018,Zamalek,2,9.0
8019,6th of October,2,0.2
8020,Helwan,2,3.1
8021,Nasr City,5,4.1
8022,Downtown,2,1.0
8023,Garden City,1,4.6
8024,New Cairo,5,1.9
8025,Maadi,2,4.6
8026,Rehab,1,6.1
8027,6th of October,2,1.4
8028,Downtown,3,3.8
8029,Helwan,2,0.5
8030,Ain Shams,3,7.0
8031,Zamalek,5,5.1
8032,Helwan,3,8.2
8033,Garden City,4,6.8
8034,New Cairo,5,8.3
8035,Heliopolis,3,5.5
8036,Agouza,4,8.8
8037,Garden City,5,10.0
8038,Shubra,4,3.8
8039,Mohandessin,2,1.6
8040,Maadi,4,2.4
8041,Rehab,5,4.1
8042,Sheikh Zayed,4,7.8
8043,Zamalek,2,2.9
8044,6th of October,5,3.8
8045,Dokki,2,8.2
8046,New Cairo,2,7.5
8047,Shubra,2,6.1
8048,Ain Shams,5,1.7
8049,Nasr City,4,6.2
8050,Zamalek,4,4.2
8051,Agouza,5,9.5
8052,Mohandessin,3,4.1
8053,Agouza,5,3.8
8054,Downtown,5,6.6
8055,Manial,5,9.2
8056,Giza,5,2.6
8057,Shubra,5,7.4
8058,Madinaty,4,5.2
8059,Helwan,4,6.1
8060,Heliopolis,2,0.2
8061,Dokki,1,2.6
8062,New Cairo,5,5.3
8063,Heliopolis,3,8.1
8064,Sheikh Zayed,2,2.1
8065,Manial,1,9.8
8066,Downtown,4,1.6
8067,Nasr City,1,0.2
8068,Maadi,4,3.0
8069,Downtown,5,9.3
8070,Zamalek,3,7.3
8071,Garden City,1,7.4
8072,Agouza,1,8.7
8073,Heliopolis,1,2.3
8074,Agouza,4,2.1
8075,5th Settlement,4,3.3
8076,Agouza,5,1.4
8077,Giza,4,5.4
8078,Downtown,3,3.0
8079,Giza,5,9.1
8080,Downtown,1,9.7
8081,Garden City,3,5.2
8082,Nasr City,5,8.3
8083,Ain Shams,4,9.3
8084,Heliopolis,5,6.1
8085,5th Settlement,5,9.4
8086,Agouza,5,4.1
8087,Maadi,3,9.2
8088,Downtown,1,4.1
8089,Helwan,2,0.9
8090,Nasr City,4,6.3
8091,Ain Shams,1,6.2
8092,Ain Shams,5,9.4
8093,Madinaty,2,3.4
8094,6th of October,1,7.6
8095,6th of October,4,3.2
8096,Dokki,3,2.7
8097,Zamalek,2,2.3
8098,Manial,3,4.9
8099,Heliopolis,1,8.5
8100,Madinaty,4,0.6
8101,Dokki,1,2.0
8102,Helwan,1,5.0
8103,Zamalek,5,2.3
8104,Dokki,1,7.6
8105,Giza,5,1.6
8106,Agouza,5,7.5
8107,Agouza,2,7.3
8108,Mohandessin,2,5.2
8109,Mohandessin,3,4.7
8110,6th of October,3,7.3
8111,Rehab,3,2.8
8112,Nasr City,3,5.5
8113,Nasr City,4,5.0
8114,5th Settlement,4,7.5
8115,Garden City,3,8.7
8116,Nasr City,4,9.9
8117,Zamalek,5,4.2
8118,Madinaty,1,0.8
8119,5th Settlement,3,9.8
8120,Garden City,2,1.0
8121,Agouza,3,8.7
8122,Helwan,4,0.9
8123,New Cairo,1,2.0
8124,Zamalek,5,6.1
8125,Sheikh Zayed,1,8.0
8126,5th Settlement,1,3.5
8127,Heliopolis,3,7.3
8128,Rehab,3,9.0
8129,Manial,4,2.8
8130,Garden City,5,6.7
8131,Shubra,1,6.7
8132,Madinaty,1,6.5
8133,Nasr City,5,0.6
8134,Nasr City,3,2.5
8135,6th of October,1,3.3
8136,Nasr City,2,5.4
8137,5th Settlement,2,6.1
8138,5th Settlement,1,1.9
8139,Agouza,4,6.8
8140,Dokki,1,4.0
8141,Helwan,5,2.5
8142,New Cairo,1,5.6
8143,5th Settlement,5,6.6
8144,Shubra,3,0.2
8145,Giza,1,1.7
8146,Shubra,3,9.7
8147,Manial,2,7.0
8148,Garden City,3,8.7
8149,Downtown,2,7.2
8150,Mohandessin,5,0.6
8151,6th of October,3,9.9
8152,Sheikh Zayed,5,8.5
8153,Ain Shams,4,9.0
8154,Manial,5,0.5
8155,Maadi,5,4.9
8156,Heliopolis,5,1.8
8157,Zamalek,5,7.0
8158,6th of October,2,8.4
8159,Mohandessin,2,0.9
8160,Shubra,1,8.1
8161,5th Settlement,3,1.1
8162,5th Settlement,1,5.6
8163,Shubra,2,3.5
8164,Heliopolis,1,1.9
8165,Shubra,1,6.0
8166,Rehab,2,3.0
8167,Giza,2,1.6
8168,Madinaty,1,6.0
8169,New Cairo,3,4.8
8170,6th of October,4,7.1
8171,Maadi,5,7.3
8172,Downtown,2,6.8
8173,Zamalek,3,0.9
8174,Zamalek,5,4.0
8175,Garden City,5,5.8
8176,Madinaty,4,2.8
8177,Downtown,4,10.0
8178,Giza,5,1.9
8179,Nasr City,3,3.8
8180,Nasr City,2,2.4
8181,Zamalek,5,7.5
8182,Downtown,3,3.1
8183,5th Settlement,4,4.9
8184,Shubra,5,0.2
8185,Giza,1,4.1
8186,Maadi,4,4.0
8187,Ain Shams,1,4.0
8188,Downtown,5,3.8
8189,Zamalek,4,8.9
8190,Nasr City,5,2.7
8191,Heliopolis,1,5.5
8192,Agouza,1,8.6
8193,Dokki,1,6.0
8194,Garden City,1,8.1
8195,Downtown,1,1.5
8196,Giza,2,6.1
8197,Rehab,3,6.9
8198,Manial,3,5.7
8199,Heliopolis,5,2.4
8200,Dokki,4,6.5
8201,Manial,5,0.5
8202,Downtown,4,4.4
8203,Madinaty,3,3.6
8204,New Cairo,3,6.6
8205,Agouza,2,9.8
8206,6th of October,5,0.5
8207,6th of October,3,9.6
8208,Garden City,5,9.3
8209,5th Settlement,1,1.0
8210,Heliopolis,5,6.3
8211,Helwan,3,6.0
8212,6th of October,3,5.3
8213,Shubra,4,7.6
8214,Dokki,5,1.7
8215,Helwan,2,8.0
8216,Manial,4,1.3
8217,Ain Shams,4,0.6
8218,Ain Shams,1,0.2
8219,Downtown,3,8.1
8220,Nasr City,4,5.5
8221,Rehab,2,0.2
8222,Shubra,1,7.6
8223,Helwan,1,1.4
8224,Helwan,1,3.7
8225,Mohandessin,1,0.8
8226,Garden City,1,0.8
8227,Heliopolis,3,4.3
8228,Helwan,5,4.3
8229,Maadi,3,4.5
8230,New Cairo,3,1.4
8231,Garden City,5,0.8
8232,Rehab,5,3.3
8233,Shubra,3,2.7
8234,Helwan,2,7.3
8235,Giza,4,1.1
8236,Giza,4,5.9
8237,Zamalek,5,1.3
8238,5th Settlement,4,6.4
8239,6th of October,4,4.4
8240,Ain Shams,3,5.8
8241,Heliopolis,5,3.9
8242,Giza,5,2.4
8243,5th Settlement,4,5.0
8244,Nasr City,3,4.0
8245,Maadi,2,6.9
8246,Madinaty,4,9.7
8247,Zamalek,5,8.0
8248,Nasr City,1,2.7
8249,Dokki,1,5.7
8250,Ain Shams,4,6.1
8251,Mohandessin,2,2.5
8252,Manial,4,6.9
8253,Downtown,2,2.2
8254,Shubra,3,5.7
8255,Dokki,5,2.7
8256,Giza,2,9.2
8257,Shubra,4,7.7
8258,Agouza,2,3.8
8259,Rehab,4,2.7
8260,Manial,2,9.2
8261,5th Settlement,3,2.3
8262,Maadi,2,6.6
8263,Dokki,1,2.5
8264,New Cairo,1,5.8
8265,Manial,2,0.7
8266,Dokki,5,2.4
8267,Downtown,2,2.9
8268,Madinaty,1,9.6
8269,Sheikh Zayed,2,6.1
8270,Nasr City,4,8.9
8271,Giza,1,3.4
8272,New Cairo,3,3.3
8273,Shubra,1,1.4
8274,Rehab,3,9.2
8275,Manial,5,4.4
8276,5th Settlement,2,0.8
8277,Nasr City,4,1.3
8278,Garden City,2,7.9
8279,Dokki,4,6.8
8280,Downtown,2,9.9
8281,Rehab,4,5.0
8282,Zamalek,4,2.3
8283,Sheikh Zayed,1,8.9
8284,Shubra,3,9.6
8285,Nasr City,4,7.3
8286,5th Settlement,3,0.1
8287,Shubra,1,0.6
8288,Giza,2,3.4
8289,6th of October,2,6.3
8290,Zamalek,1,6.3
8291,6th of October,1,6.4
8292,Madinaty,3,1.4
8293,Ain Shams,4,0.3
8294,Helwan,5,7.8
8295,Rehab,4,1.8
8296,Agouza,1,1.5
8297,Ain Shams,2,8.4
8298,Maadi,2,0.2
8299,Mohandessin,5,7.1
8300,Helwan,4,6.7
8301,New Cairo,4,8.8
8302,6th of October,5,7.3
8303,Giza,5,4.5
8304,Agouza,2,4.9
8305,Mohandessin,5,1.1
8306,Agouza,4,7.0
8307,5th Settlement,3,7.5
8308,Manial,1,8.4
8309,Sheikh Zayed,4,2.7
8310,Manial,3,0.4
8311,Nasr City,3,8.2
8312,Mohandessin,2,6.0
8313,Ain Shams,3,8.3
8314,Downtown,2,2.2
8315,New Cairo,4,9.8
8316,Heliopolis,2,1.1
8317,Agouza,5,7.2
8318,Zamalek,1,8.1
8319,6th of October,5,3.4
8320,Garden City,3,9.3
8321,Zamalek,2,0.3
8322,Ain Shams,2,6.9
8323,Mohandessin,5,1.5
8324,6th of October,4,9.7
8325,Dokki,3,3.1
8326,Rehab,5,4.0
8327,Zamalek,5,7.0
8328,Sheikh Zayed,2,7.8
8329,Downtown,2,9.1
8330,5th Settlement,4,4.6
8331,5th Settlement,3,0.7
8332,Sheikh Zayed,1,0.8
8333,Zamalek,2,3.9
8334,New Cairo,5,7.0
8335,Shubra,3,6.5
8336,Agouza,5,4.7
8337,New Cairo,4,5.4
8338,Giza,5,0.3
8339,Rehab,5,4.3
8340,Shubra,2,2.8
8341,5th Settlement,2,8.8
8342,Manial,4,9.7
8343,Shubra,1,1.6
8344,5th Settlement,1,0.6
8345,Downtown,4,5.8
8346,Shubra,2,0.9
8347,Ain Shams,3,0.2
8348,Giza,4,3.6
8349,Ain Shams,3,6.9
8350,Sheikh Zayed,4,3.4
8351,Helwan,4,3.3
8352,Dokki,3,3.6
8353,New Cairo,1,4.8
8354,Shubra,5,0.2
8355,Sheikh Zayed,4,4.5
8356,Downtown,3,8.1
8357,Helwan,1,6.9
8358,Helwan,3,4.2
8359,Downtown,2,3.3
8360,6th of October,3,8.9
